Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos,,,,
Manhattan,0401,Chelsea and Clinton,113,0.426415094,265,10001,,,,,
Manhattan,0401,Lower East Side,250,0.461254613,542,10002,,,,,
Manhattan,0401,Lower East Side,161,0.424802111,379,10003,,,,,
Manhattan,0401,Lower Manhattan,16,0.421052632,38,10004,,,,,
Manhattan,0401,Lower Manhattan,25,0.308641975,81,10005,,,,,
Manhattan,0401,Lower Manhattan,6,0.25,24,10006,,,,,
Manhattan,0401,Lower Manhattan,26,0.388059701,67,10007,,,,,
Manhattan,0401,Lower East Side,181,0.402222222,450,10009,,,,,
Manhattan,0401,Gramercy Park and Murray Hill,101,0.358156028,282,10010,,,,,
Manhattan,0401,Chelsea and Clinton,222,0.455852156,487,10011,,,,,
Manhattan,0401,Greenwich Village and Soho,68,0.371584699,183,10012,,,,,
Manhattan,0401,Greenwich Village and Soho,122,0.478431373,255,10013,,,,,
Manhattan,0401,Greenwich Village and Soho,140,0.459016393,305,10014,,,,,
Manhattan,0401,Gramercy Park and Murray Hill,288,0.495697074,581,10016,,,,,
Manhattan,0401,Gramercy Park and Murray Hill,45,0.326086957,138,10017,,,,,
Manhattan,0401,Chelsea and Clinton,66,0.437086093,151,10018,,,,,
Manhattan,0401,Chelsea and Clinton,187,0.414634146,451,10019,,,,,
Manhattan,0401,Upper East Side,211,0.37544484,562,10021,,,,,
Manhattan,0401,Gramercy Park and Murray Hill,123,0.362831858,339,10022,,,,,
Manhattan,0401,Upper West Side,190,0.377733598,503,10023,,,,,
Manhattan,0401,Upper West Side,204,0.31825273,641,10024,,,,,
Manhattan,0401,Upper West Side,252,0.334217507,754,10025,,,,,
Manhattan,0401,Central Harlem,126,0.42,300,10026,,,,,
Manhattan,0401,Central Harlem,170,0.402843602,422,10027,,,,,
Manhattan,0401,Upper East Side,189,0.397058824,476,10028,,,,,
Manhattan,0401,East Harlem,290,0.434131737,668,10029,,,,,
Manhattan,0401,Central Harlem,106,0.519607843,204,10030,,,,,
Manhattan,0401,Inwood and Washington Heights,217,0.535802469,405,10031,,,,,
Manhattan,0401,Inwood and Washington Heights,308,0.562043796,548,10032,,,,,
Manhattan,0401,Inwood and Washington Heights,264,0.533333333,495,10033,,,,,
Manhattan,0401,Inwood and Washington Heights,108,0.41221374,262,10034,,,,,
Manhattan,0401,East Harlem,147,0.426086957,345,10035,,,,,
Manhattan,0401,Chelsea and Clinton,116,0.421818182,275,10036,,,,,
Manhattan,0401,Central Harlem,109,0.534313725,204,10037,,,,,
Manhattan,0401,Lower Manhattan,76,0.45508982,167,10038,,,,,
Manhattan,0401,Central Harlem,116,0.513274336,226,10039,,,,,
Manhattan,0401,Inwood and Washington Heights,208,0.584269663,356,10040,,,,,
Manhattan,0401,Upper East Side,49,0.422413793,116,10044,,,,,
Manhattan,0401,Upper East Side,121,0.314285714,385,10065,,,,,
Manhattan,0401,Upper East Side,160,0.431266846,371,10075,,,,,
Manhattan,0401,Upper East Side,212,0.355704698,596,10128,,,,,
Manhattan,0401,Lower Manhattan,17,0.34,50,10280,,,,,
Staten Islan,0401,Stapleton and St. George,175,0.525525526,333,10301,,,,,
Staten Islan,0401,Port Richmond,61,0.445255474,137,10302,,,,,
Staten Islan,0401,Port Richmond,106,0.479638009,221,10303,,,,,
Staten Islan,0401,Stapleton and St. George,289,0.535185185,540,10304,,,,,
Staten Islan,0401,Stapleton and St. George,178,0.41588785,428,10305,,,,,
Staten Islan,0401,South Shore,278,0.439873418,632,10306,,,,,
Staten Islan,0401,South Shore,67,0.471830986,142,10307,,,,,
Staten Islan,0401,South Shore,146,0.441087613,331,10308,,,,,
Staten Islan,0401,South Shore,170,0.468319559,363,10309,,,,,
Staten Islan,0401,Port Richmond,97,0.444954128,218,10310,,,,,
Staten Islan,0401,South Shore,336,0.513761468,654,10312,,,,,
Staten Islan,0401,Mid-Island,452,0.471324296,959,10314,,,,,
Bronx,0401,High Bridge and Morrisania,337,0.576068376,585,10451,,,,,
Bronx,0401,High Bridge and Morrisania,367,0.583465819,629,10452,,,,,
Bronx,0401,Central Bronx,386,0.582202112,663,10453,,,,,
Bronx,0401,Hunts Point and Mott Haven,174,0.50728863,343,10454,,,,,
Bronx,0401,Hunts Point and Mott Haven,176,0.501424501,351,10455,,,,,
Bronx,0401,High Bridge and Morrisania,355,0.512265512,693,10456,,,,,
Bronx,0401,Central Bronx,306,0.535901926,571,10457,,,,,
Bronx,0401,Bronx Park and Fordham,332,0.533762058,622,10458,,,,,
Bronx,0401,Hunts Point and Mott Haven,227,0.536643026,423,10459,,,,,
Bronx,0401,Central Bronx,255,0.526859504,484,10460,,,,,
Bronx,0401,Southeast Bronx,376,0.526610644,714,10461,,,,,
Bronx,0401,Southeast Bronx,377,0.490885417,768,10462,,,,,
Bronx,0401,Kingsbridge and Riverdale,253,0.386850153,654,10463,,,,,
Bronx,0401,Southeast Bronx,25,0.384615385,65,10464,,,,,
Bronx,0401,Southeast Bronx,267,0.447986577,596,10465,,,,,
Bronx,0401,Northeast Bronx,362,0.543543544,666,10466,,,,,
Bronx,0401,Bronx Park and Fordham,638,0.562610229,1134,10467,,,,,
Bronx,0401,Bronx Park and Fordham,397,0.636217949,624,10468,,,,,
Bronx,0401,Northeast Bronx,470,0.576687117,815,10469,,,,,
Bronx,0401,Northeast Bronx,83,0.52866242,157,10470,,,,,
Bronx,0401,Kingsbridge and Riverdale,104,0.35016835,297,10471,,,,,
Bronx,0401,Southeast Bronx,302,0.571969697,528,10472,,,,,
Bronx,0401,Southeast Bronx,304,0.54676259,556,10473,,,,,
Bronx,0401,Hunts Point and Mott Haven,55,0.567010309,97,10474,,,,,
Bronx,0401,Northeast Bronx,255,0.571748879,446,10475,,,,,
Queens,0401,Southeast Queens,163,0.61509434,265,11429,,,,,
Queens,0401,Southeast Queens,121,0.593137255,204,11004,,,,,
Queens,0401,Northwest Queens,148,0.4625,320,11101,,,,,
Queens,0401,Northwest Queens,105,0.454545455,231,11102,,,,,
Queens,0401,Northwest Queens,104,0.512315271,203,11103,,,,,
Queens,0401,Northwest Queens,85,0.548387097,155,11104,,,,,
Queens,0401,Northwest Queens,104,0.429752066,242,11105,,,,,
Queens,0401,Northwest Queens,144,0.496551724,290,11106,,,,,
Brooklyn,0401,Northwest Brooklyn,204,0.425887265,479,11201,,,,,
Brooklyn,0401,Flatbush,343,0.628205128,546,11203,,,,,
Brooklyn,0401,Borough Park,534,0.572961373,932,11204,,,,,
Brooklyn,0401,Northwest Brooklyn,182,0.570532915,319,11205,,,,,
Brooklyn,0401,Bushwick and Williamsburg,329,0.575174825,572,11206,,,,,
Brooklyn,0401,East New York and New Lots,332,0.565587734,587,11207,,,,,
Brooklyn,0401,East New York and New Lots,350,0.623885918,561,11208,,,,,
Brooklyn,0401,Southwest Brooklyn,209,0.462389381,452,11209,,,,,
Brooklyn,0401,Flatbush,386,0.575260805,671,11210,,,,,
Brooklyn,0401,Greenpoint,601,0.625390219,961,11211,,,,,
Brooklyn,0401,Central Brooklyn,254,0.570786517,445,11212,,,,,
Brooklyn,0401,Central Brooklyn,394,0.634460548,621,11213,,,,,
Brooklyn,0401,Southwest Brooklyn,251,0.461397059,544,11214,,,,,
Brooklyn,0401,Northwest Brooklyn,178,0.407322654,437,11215,,,,,
Brooklyn,0401,Central Brooklyn,162,0.512658228,316,11216,,,,,
Brooklyn,0401,Northwest Brooklyn,130,0.483271375,269,11217,,,,,
Brooklyn,0401,Borough Park,350,0.57096248,613,11218,,,,,
Brooklyn,0401,Borough Park,771,0.672774869,1146,11219,,,,,
Brooklyn,0401,Sunset Park,264,0.575163399,459,11220,,,,,
Brooklyn,0401,Bushwick and Williamsburg,260,0.571428571,455,11221,,,,,
Brooklyn,0401,Greenpoint,96,0.406779661,236,11222,,,,,
Brooklyn,0401,Southern Brooklyn,346,0.53894081,642,11223,,,,,
Brooklyn,0401,Southern Brooklyn,133,0.4375,304,11224,,,,,
Brooklyn,0401,Flatbush,267,0.62529274,427,11225,,,,,
Brooklyn,0401,Flatbush,344,0.573333333,600,11226,,,,,
Brooklyn,0401,Southwest Brooklyn,101,0.454954955,222,11228,,,,,
Brooklyn,0401,Southern Brooklyn,316,0.49375,640,11229,,,,,
Brooklyn,0401,Borough Park,631,0.603250478,1046,11230,,,,,
Brooklyn,0401,Northwest Brooklyn,127,0.468634686,271,11231,,,,,
Brooklyn,0401,Sunset Park,85,0.566666667,150,11232,,,,,
Brooklyn,0401,Central Brooklyn,225,0.587467363,383,11233,,,,,
Brooklyn,0401,Canarsie and Flatlands,364,0.510518934,713,11234,,,,,
Brooklyn,0401,Southern Brooklyn,348,0.50877193,684,11235,,,,,
Brooklyn,0401,Canarsie and Flatlands,416,0.593437946,701,11236,,,,,
Brooklyn,0401,Bushwick and Williamsburg,184,0.638888889,288,11237,,,,,
Brooklyn,0401,Central Brooklyn,183,0.522857143,350,11238,,,,,
Brooklyn,0401,Canarsie and Flatlands,85,0.658914729,129,11239,,,,,
Queens,0401,North Queens,162,0.50625,320,11357,,,,,
Queens,0401,North Queens,134,0.492647059,272,11354,,,,,
Queens,0401,North Queens,213,0.585164835,364,11355,,,,,
Queens,0401,North Queens,110,0.486725664,226,11356,,,,,
Queens,0401,North Queens,119,0.47983871,248,11358,,,,,
Queens,0401,North Queens,59,0.385620915,153,11360,,,,,
Queens,0401,Northeast Queens,85,0.45212766,188,11361,,,,,
Queens,0401,Northeast Queens,64,0.447552448,143,11362,,,,,
Queens,0401,Northeast Queens,27,0.415384615,65,11363,,,,,
Queens,0401,Northeast Queens,113,0.513636364,220,11364,,,,,
Queens,0401,Central Queens,166,0.532051282,312,11365,,,,,
Queens,0401,Central Queens,106,0.579234973,183,11366,,,,,
Queens,0401,Central Queens,318,0.622309198,511,11367,,,,,
Queens,0401,West Queens,947,0.771801141,1227,11368,,,,,
Queens,0401,West Queens,331,0.72907489,454,11369,,,,,
Queens,0401,West Queens,378,0.486486486,777,11370,,,,,
Queens,0401,West Queens,492,0.70995671,693,11372,,,,,
Queens,0401,West Queens,831,0.723867596,1148,11373,,,,,
Queens,0401,West Central Queens,319,0.596261682,535,11374,,,,,
Queens,0401,West Central Queens,418,0.498806683,838,11375,,,,,
Queens,0401,West Queens,364,0.579617834,628,11377,,,,,
Queens,0401,West Queens,156,0.547368421,285,11378,,,,,
Queens,0401,West Central Queens,195,0.541666667,360,11379,,,,,
Queens,0401,West Central Queens,425,0.559947299,759,11385,,,,,
Queens,0401,Southeast Queens,151,0.683257919,221,11411,,,,,
Queens,0401,Jamaica,245,0.597560976,410,11412,,,,,
Queens,0401,Southeast Queens,261,0.604166667,432,11413,,,,,
Queens,0401,Southwest Queens,162,0.504672897,321,11414,,,,,
Queens,0401,Southwest Queens,149,0.613168724,243,11415,,,,,
Queens,0401,Southwest Queens,117,0.632432432,185,11416,,,,,
Queens,0401,Southwest Queens,173,0.594501718,291,11417,,,,,
Queens,0401,Southwest Queens,216,0.595041322,363,11418,,,,,
Queens,0401,Southwest Queens,182,0.54491018,334,11419,,,,,
Queens,0401,Southwest Queens,223,0.571794872,390,11420,,,,,
Queens,0401,Southwest Queens,202,0.573863636,352,11421,,,,,
Queens,0401,Southeast Queens,211,0.618768328,341,11422,,,,,
Queens,0401,Jamaica,164,0.607407407,270,11423,,,,,
Queens,0401,Southeast Queens,101,0.5,202,11426,,,,,
Queens,0401,Southeast Queens,181,0.560371517,323,11427,,,,,
Queens,0401,Southeast Queens,112,0.65497076,171,11428,,,,,
Queens,0401,Jamaica,358,0.645045045,555,11434,,,,,
Queens,0401,Jamaica,405,0.660685155,613,11432,,,,,
Queens,0401,Jamaica,155,0.62,250,11433,,,,,
Queens,0401,Jamaica,293,0.566731141,517,11435,,,,,
Queens,0401,Jamaica,100,0.64516129,155,11436,,,,,
Queens,0401,Rockaways,436,0.628242075,694,11691,,,,,
Queens,0401,Rockaways,110,0.597826087,184,11692,,,,,
Queens,0401,Rockaways,86,0.597222222,144,11693,,,,,
Queens,0401,Rockaways,143,0.52962963,270,11694,,,,,
Queens,0401,Rockaways,25,0.403225806,62,11697,,,,,
Manhattan,0403,Chelsea and Clinton,136,0.447368421,304,10001,44.74,,,,
Manhattan,0403,Lower East Side,317,0.486943164,651,10002,48.69,,,,
Manhattan,0403,Lower East Side,191,0.436073059,438,10003,43.61,,,,
Manhattan,0403,Lower Manhattan,19,0.452380952,42,10004,45.24,,,,
Manhattan,0403,Lower Manhattan,28,0.29787234,94,10005,29.79,,,,
Manhattan,0403,Lower Manhattan,7,0.269230769,26,10006,26.92,,,,
Manhattan,0403,Lower Manhattan,28,0.373333333,75,10007,37.33,,,,
Manhattan,0403,Lower East Side,236,0.430656934,548,10009,43.07,,,,
Manhattan,0403,Gramercy Park and Murray Hill,118,0.351190476,336,10010,35.12,,,,
Manhattan,0403,Chelsea and Clinton,255,0.464480874,549,10011,46.45,,,,
Manhattan,0403,Greenwich Village and Soho,77,0.368421053,209,10012,36.84,,,,
Manhattan,0403,Greenwich Village and Soho,120,0.452830189,265,10013,45.28,,,,
Manhattan,0403,Greenwich Village and Soho,163,0.469740634,347,10014,46.97,,,,
Manhattan,0403,Gramercy Park and Murray Hill,295,0.446293495,661,10016,44.63,,,,
Manhattan,0403,Gramercy Park and Murray Hill,59,0.341040462,173,10017,34.1,,,,
Manhattan,0403,Chelsea and Clinton,97,0.45971564,211,10018,45.97,,,,
Manhattan,0403,Chelsea and Clinton,226,0.434615385,520,10019,43.46,,,,
Manhattan,0403,Upper East Side,258,0.383928571,672,10021,38.39,,,,
Manhattan,0403,Gramercy Park and Murray Hill,148,0.37,400,10022,37,,,, 
Manhattan,0403,Upper West Side,231,0.396226415,583,10023,39.62,,,,
Manhattan,0403,Upper West Side,255,0.348837209,731,10024,34.88,,,,
Manhattan,0403,Upper West Side,327,0.366591928,892,10025,36.66,,,,
Manhattan,0403,Central Harlem,166,0.457300275,363,10026,45.73,,,,
Manhattan,0403,Central Harlem,224,0.444444444,504,10027,44.44,,,,
Manhattan,0403,Upper East Side,220,0.4,550,10028,40,,,,
Manhattan,0403,East Harlem,373,0.4622057,807,10029,46.22,,,,
Manhattan,0403,Central Harlem,135,0.546558704,247,10030,54.66,,,,
Manhattan,0403,Inwood and Washington Heights,288,0.578313253,498,10031,57.83,,,,
Manhattan,0403,Inwood and Washington Heights,389,0.580597015,670,10032,58.06,,,,
